,Count
YouTube,1048
_ERAFP_,173
,166
EU_Commission,142
Frances_Coppola,139
FT,133
rightrelevance,129
jeuasommenulle,128
GrkStav,128
elchaposing,128
RichardBlyth7,126
Juan_Zero1010,126
PerKurowski,123
jordanbpeterson,90
CFlowMuzik,86
Bestestgundog,84
realDonaldTrump,84
oppaipaipai_bot,75
Albertspanner,75
newotakuman5000,71
financialtimes,68
wef,68
BarillaCFN,65
EUBIC,64
Keynesblog,62
IIGCCnews,61
matteosalvinimi,61
HLEG_Sus_Fin,60
nntaleb,60
Spaniels_Rule,59
TheEconomist,59
amazon,56
PRI_News,56
META_Group,54
AlerioN_eSport,54
PanTragos,52
vrindarvkm,52
Bradwin84,51
eaepe,51
KwokMiles,51
EUScienceInnov,51
NetSciX2017,50
